_novie,bubbles999x,urjokingright,kingfred,vvvfv8117,buffx4,space_rock,3nvy_z,deus_fps,qwersec,taameme,8bitducky,VCT Predictions Bot,f1ash1,_dev.,doodkevv,architect_aim,.joeyx,huntice,hailstorm_,lyclipz,me7a.,beast6217,coconut9832,tilly_7,axon319,_michaf,victoryxh,lustyom,mreid,drewspark,timothyou,bdubsz,electriccmars,zebrabrother,aasimq,redicendia,abyukio,zyko4l,p_ine,joachjua,teahy123,blurski,faceneck,4rn0d,MatchIDs
2.9098048832641434e+17,7.117605624422072e+17,1.1259980421186397e+18,6.344629247729992e+17,1.1313999818032498e+18,5.2431690295751475e+17,3.355857374937088e+17,8.269576684889702e+17,1.8586513048600576e+17,5.324080837465211e+17,6.08605840370434e+17,3.910338811736883e+17,1.0886156495358528e+18,6.298267633123328e+17,2.6512346422090138e+17,6.747238484567654e+17,5.281575483903836e+17,4.79829455150252e+17,3.6315646938814874e+17,5.658858285139231e+17,5.147959753244672e+17,4.02090282092331e+17,4.388718328049828e+17,7.464350962734858e+17,4.025710146740552e+17,4.0071308423213875e+17,4.778860270513029e+17,6.340388539545682e+17,2.663745565103227e+17,1.380418193541038e+17,9.363332172906619e+17,6.237018097557176e+17,3.464023183354757e+17,6.982897545039053e+17,5.002183249705042e+17,7.457312513857946e+17,3.765782810566328e+17,3.2060352816060826e+17,3.159375780399022e+17,2.9792747490010726e+17,4.2785508129203814e+17,6.12442221051904e+17,2.4938941606435226e+17,6.500892360572928e+17,2.666889991988183e+17,UserIDs
Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,MATCH 1
LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,Cloud9,LOUD,,LOUD,Cloud9,,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,Cloud9,LOUD,LOUD,LOUD,,LOUD,LOUD,,LOUD,LOUD,LOUD,Cloud9,LOUD,LOUD,Cloud9,MATCH 2
KRU Esports,KRU Esports,KRU Esports,KRU Esports,Evil Geniuses,KRU Esports,KRU Esports,Evil Geniuses,KRU Esports,,KRU Esports,KRU Esports,,KRU Esports,KRU Esports,Evil Geniuses,KRU Esports,KRU Esports,KRU Esports,Evil Geniuses,Evil Geniuses,KRU Esports,Evil Geniuses,KRU Esports,Evil Geniuses,KRU Esports,Evil Geniuses,KRU Esports,KRU Esports,Evil Geniuses,KRU Esports,KRU Esports,KRU Esports,KRU Esports,,KRU Esports,Evil Geniuses,KRU Esports,KRU Esports,KRU Esports,KRU Esports,KRU Esports,KRU Esports,KRU Esports,Evil Geniuses,MATCH 3
Leviatan,NRG,NRG,NRG,,NRG,NRG,NRG,NRG,,Leviatan,NRG,,NRG,NRG,NRG,NRG,NRG,NRG,NRG,Leviatan,NRG,NRG,NRG,NRG,NRG,,NRG,NRG,Leviatan,Leviatan,NRG,NRG,NRG,,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,Leviatan,NRG,MATCH 4
G2 Esports,G2 Esports,G2 Esports,G2 Esports,FURIA Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,,G2 Esports,G2 Esports,,G2 Esports,FURIA Esports,FURIA Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,G2 Esports,,FURIA Esports,G2 Esports,G2 Esports,MATCH 5
100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,Cloud9,Cloud9,Cloud9,100 Thieves,,100 Thieves,100 Thieves,,100 Thieves,,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,100 Thieves,,100 Thieves,100 Thieves,Cloud9,Cloud9,100 Thieves,100 Thieves,,Cloud9,100 Thieves,100 Thieves,MATCH 6
Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,,Sentinels,Sentinels,Sentinels,MATCH 7
NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,,NRG,NRG,,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,NRG,,NRG,NRG,NRG,NRG,NRG,NRG,,NRG,NRG,NRG,MATCH 8
Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,,Leviatan,G2 Esports,,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,Leviatan,G2 Esports,Leviatan,Leviatan,Leviatan,,Leviatan,Leviatan,Leviatan,MATCH 9
LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,N/A,KRU Esports,LOUD,N/A,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,KRU Esports,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,LOUD,N/A,LOUD,LOUD,LOUD,MATCH 10
